Date,Time,OVEN 1 [°F],OVEN 2 [°F],OVEN 3 [°F],OVEN 4 [°F],OVEN 5 [°F],OVEN 6 [°F],OVEN 1 AL,OVEN 2 AL,OVEN 3 AL,OVEN 4 AL,OVEN 5 AL,OVEN 6 AL,
10/03/2021,08:00:00,271.9,97.3,76.8,79.2,79.0,77.0,,,,,,,
10/03/2021,08:03:00,271.8,97.2,76.8,79.2,79.0,77.0,,,,,,,
10/03/2021,08:06:00,271.9,97.2,76.8,79.2,79.0,77.2,,,,,,,
10/03/2021,08:09:00,271.8,97.0,76.8,79.2,79.0,77.0,,,,,,,
10/03/2021,08:12:00,271.9,97.0,76.8,79.2,79.0,77.0,,,,,,,
10/03/2021,08:15:00,271.8,96.8,76.8,79.2,79.0,77.0,,,,,,,
10/03/2021,08:18:00,271.8,96.8,76.8,79.2,79.0,77.0,,,,,,,
10/03/2021,08:21:00,271.8,96.6,76.8,79.2,79.0,77.0,,,,,,,
10/03/2021,08:24:00,271.8,96.6,76.8,79.2,79.0,77.0,,,,,,,
10/03/2021,08:27:00,271.9,96.4,76.8,79.2,79.0,77.0,,,,,,,
10/03/2021,08:30:00,271.8,96.4,76.8,79.2,79.0,77.2,,,,,,,
10/03/2021,08:33:00,271.8,96.3,76.8,79.2,79.0,77.2,,,,,,,
10/03/2021,08:36:00,271.8,96.3,76.8,79.2,79.0,77.2,,,,,,,
10/03/2021,08:39:00,271.9,96.3,76.8,79.2,79.0,77.0,,,,,,,
10/03/2021,08:42:00,271.8,96.1,76.8,79.2,79.0,77.0,,,,,,,
10/03/2021,08:45:00,271.9,96.1,76.8,79.2,79.0,77.2,,,,,,,
10/03/2021,08:48:00,271.8,96.1,76.8,79.2,79.0,77.2,,,,,,,
10/03/2021,08:51:00,271.9,95.7,76.6,79.0,78.8,77.0,,,,,,,
10/03/2021,08:54:00,271.8,95.7,76.6,79.0,78.8,77.0,,,,,,,
10/03/2021,08:57:00,271.8,95.5,76.6,79.0,78.8,76.8,,,,,,,
10/03/2021,09:00:00,271.8,95.5,76.6,79.0,78.8,77.0,,,,,,,
10/03/2021,09:03:00,271.8,95.4,76.6,79.0,78.8,77.0,,,,,,,
10/03/2021,09:06:00,271.8,95.4,76.6,79.0,78.8,77.0,,,,,,,
10/03/2021,09:09:00,271.9,95.4,76.6,79.0,78.8,77.0,,,,,,,
10/03/2021,09:12:00,271.8,95.2,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,09:15:00,271.8,95.2,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,09:18:00,271.8,95.0,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,09:21:00,271.9,95.0,76.6,79.0,78.8,77.0,,,,,,,
10/03/2021,09:24:00,271.9,95.0,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,09:27:00,271.8,94.8,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,09:30:00,271.8,94.8,76.6,79.0,78.8,77.0,,,,,,,
10/03/2021,09:33:00,271.8,94.8,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,09:36:00,271.8,94.6,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,09:39:00,271.8,94.6,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,09:42:00,271.8,94.6,76.6,79.0,78.8,77.0,,,,,,,
10/03/2021,09:45:00,271.9,94.5,76.6,79.0,78.8,77.0,,,,,,,
10/03/2021,09:48:00,271.8,94.5,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,09:51:00,271.8,94.3,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,09:54:00,271.8,94.3,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,09:57:00,271.8,94.3,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:00:00,271.8,94.3,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:03:00,272.1,94.1,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:06:00,271.9,94.1,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:09:00,271.9,93.9,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:12:00,271.9,93.9,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:15:00,271.8,93.9,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:18:00,271.9,93.7,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:21:00,271.9,93.7,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:24:00,271.9,93.7,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:27:00,271.9,93.6,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:30:00,271.8,93.6,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:33:00,271.8,93.6,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:36:00,271.9,93.4,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:39:00,271.9,93.4,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:42:00,271.8,93.4,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:45:00,271.9,93.2,76.8,79.0,78.8,77.0,,,,,,,
10/03/2021,10:48:00,271.9,93.2,76.8,79.0,78.8,77.2,,,,,,,
10/03/2021,10:51:00,271.9,93.2,76.8,79.0,78.8,77.2,,,,,,,
10/03/2021,10:54:00,271.9,93.0,76.8,79.0,78.8,77.2,,,,,,,
10/03/2021,10:57:00,271.9,93.0,76.8,79.0,78.8,77.2,,,,,,,
