Date,Time,OVEN 1 [°F],OVEN 2 [°F],OVEN 3 [°F],OVEN 4 [°F],OVEN 5 [°F],OVEN 6 [°F],OVEN 1 AL,OVEN 2 AL,OVEN 3 AL,OVEN 4 AL,OVEN 5 AL,OVEN 6 AL,
10/03/2021,12:00:00,271.9,91.9,77.2,79.2,79.0,77.4,,,,,,,
10/03/2021,12:03:00,271.9,91.9,77.2,79.2,79.0,77.4,,,,,,,
10/03/2021,12:06:00,271.9,91.9,77.2,79.2,79.0,77.4,,,,,,,
10/03/2021,12:09:00,271.8,91.8,77.2,79.2,79.0,77.4,,,,,,,
10/03/2021,12:12:00,271.8,91.9,77.4,79.3,79.0,77.5,,,,,,,
10/03/2021,12:15:00,271.6,91.9,77.4,79.3,79.2,77.5,,,,,,,
10/03/2021,12:18:00,271.6,91.8,77.4,79.3,79.0,77.5,,,,,,,
10/03/2021,12:21:00,271.8,91.8,77.4,79.3,79.0,77.5,,,,,,,
10/03/2021,12:24:00,271.8,91.8,77.4,79.3,79.2,77.5,,,,,,,
10/03/2021,12:27:00,271.8,91.6,77.4,79.3,79.0,77.5,,,,,,,
10/03/2021,12:30:00,271.6,91.6,77.4,79.3,79.0,77.5,,,,,,,
10/03/2021,12:33:00,271.8,91.6,77.4,79.3,79.0,77.5,,,,,,,
10/03/2021,12:36:00,271.8,91.4,77.5,79.3,79.0,77.5,,,,,,,
10/03/2021,12:39:00,271.8,91.4,77.4,79.3,79.0,77.5,,,,,,,
10/03/2021,12:42:00,271.9,91.4,77.5,79.3,79.0,77.5,,,,,,,
10/03/2021,12:45:00,271.9,91.4,77.5,79.3,79.0,77.5,,,,,,,
10/03/2021,12:48:00,271.9,91.4,77.7,79.5,79.2,77.7,,,,,,,
10/03/2021,12:51:00,271.8,91.4,77.7,79.3,79.2,77.7,,,,,,,
10/03/2021,12:54:00,271.4,91.4,77.7,79.5,79.2,77.7,,,,,,,
10/03/2021,12:57:00,271.8,91.2,77.7,79.3,79.2,77.7,,,,,,,
10/03/2021,13:00:00,271.9,91.2,77.7,79.3,79.2,77.7,,,,,,,
10/03/2021,13:03:00,271.8,91.2,77.5,79.3,79.2,77.7,,,,,,,
10/03/2021,13:06:00,271.8,91.0,77.7,79.3,79.2,77.7,,,,,,,
10/03/2021,13:09:00,271.6,91.0,77.7,79.3,79.2,77.7,,,,,,,
10/03/2021,13:12:00,271.9,91.0,77.5,79.3,79.2,77.7,,,,,,,
10/03/2021,13:15:00,271.9,91.0,77.7,79.3,79.2,77.7,,,,,,,
10/03/2021,13:18:00,272.1,90.9,77.5,79.3,79.2,77.7,,,,,,,
10/03/2021,13:21:00,271.9,90.9,77.5,79.3,79.2,77.7,,,,,,,
10/03/2021,13:24:00,272.1,91.0,77.7,79.5,79.3,77.9,,,,,,,
10/03/2021,13:27:00,272.1,91.0,77.7,79.5,79.3,77.9,,,,,,,
10/03/2021,13:30:00,271.9,90.9,77.7,79.5,79.3,77.9,,,,,,,
10/03/2021,13:33:00,271.9,90.9,77.7,79.5,79.3,77.9,,,,,,,
10/03/2021,13:36:00,271.2,90.9,77.7,79.5,79.3,77.9,,,,,,,
10/03/2021,13:39:00,271.8,90.9,77.7,79.5,79.3,77.9,,,,,,,
10/03/2021,13:42:00,271.8,90.9,77.9,79.7,79.5,78.1,,,,,,,
10/03/2021,13:45:00,271.8,90.9,77.9,79.7,79.5,78.1,,,,,,,
