Date,Time,OVEN 1 [°F],OVEN 2 [°F],OVEN 3 [°F],OVEN 4 [°F],OVEN 5 [°F],OVEN 6 [°F],OVEN 1 AL,OVEN 2 AL,OVEN 3 AL,OVEN 4 AL,OVEN 5 AL,OVEN 6 AL,
10/04/2021,20:00:00,272.5,79.0,77.7,79.3,79.3,77.9,,,,,,,
10/04/2021,20:03:00,272.5,79.0,77.7,79.3,79.3,77.9,,,,,,,
10/04/2021,20:06:00,272.8,79.0,77.7,79.3,79.3,77.9,,,,,,,
10/04/2021,20:09:00,272.5,79.0,77.7,79.3,79.3,77.9,,,,,,,
10/04/2021,20:12:00,272.7,79.0,77.7,79.3,79.3,77.9,,,,,,,
10/04/2021,20:15:00,272.8,79.2,77.5,79.3,79.3,77.9,,,,,,,
10/04/2021,20:18:00,272.7,79.0,77.5,79.3,79.3,77.9,,,,,,,
10/04/2021,20:21:00,272.8,79.0,77.5,79.3,79.3,77.9,,,,,,,
10/04/2021,20:24:00,273.0,79.0,77.5,79.3,79.3,77.9,,,,,,,
10/04/2021,20:27:00,272.7,79.0,77.5,79.3,79.3,77.9,,,,,,,
10/04/2021,20:30:00,272.8,79.0,77.5,79.3,79.3,77.9,,,,,,,
10/04/2021,20:33:00,272.8,79.0,77.4,79.3,79.3,77.9,,,,,,,
10/04/2021,20:36:00,272.8,79.0,77.4,79.3,79.3,77.9,,,,,,,
10/04/2021,20:39:00,272.8,79.0,77.4,79.3,79.3,77.9,,,,,,,
10/04/2021,20:42:00,272.8,79.0,77.4,79.3,79.3,77.9,,,,,,,
10/04/2021,20:45:00,272.8,79.0,77.4,79.3,79.3,77.9,,,,,,,
10/04/2021,20:48:00,273.0,79.0,77.4,79.3,79.3,77.9,,,,,,,
10/04/2021,20:51:00,273.0,79.0,77.4,79.3,79.3,77.9,,,,,,,
10/04/2021,20:54:00,272.7,79.0,77.4,79.3,79.3,77.9,,,,,,,
10/04/2021,20:57:00,272.5,79.0,77.4,79.3,79.3,77.9,,,,,,,
10/04/2021,21:00:00,272.8,79.0,77.4,79.3,79.3,77.9,,,,,,,
10/04/2021,21:03:00,272.5,79.0,77.4,79.3,79.3,77.9,,,,,,,
10/04/2021,21:06:00,272.7,78.6,77.2,79.2,79.2,77.7,,,,,,,
10/04/2021,21:09:00,272.7,78.6,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:12:00,272.7,78.6,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:15:00,272.7,78.6,77.2,79.2,79.2,77.7,,,,,,,
10/04/2021,21:18:00,272.5,78.8,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:21:00,272.5,78.6,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:24:00,272.8,78.8,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:27:00,272.5,78.8,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:30:00,272.5,78.6,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:33:00,272.7,78.6,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:36:00,272.7,78.6,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:39:00,272.8,78.8,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:42:00,272.7,78.6,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:45:00,272.8,78.8,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:48:00,272.7,78.8,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:51:00,272.7,78.8,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:54:00,272.7,78.6,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,21:57:00,272.8,78.6,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,22:00:00,272.5,78.8,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,22:03:00,272.5,78.8,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,22:06:00,272.3,78.6,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,22:09:00,272.5,78.6,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,22:12:00,272.5,78.6,77.2,79.2,79.3,77.7,,,,,,,
10/04/2021,22:15:00,272.7,78.6,77.0,79.0,79.0,77.5,,,,,,,
10/04/2021,22:18:00,272.5,78.6,77.0,79.0,79.2,77.5,,,,,,,
10/04/2021,22:21:00,272.7,78.4,77.0,79.0,79.2,77.5,,,,,,,
10/04/2021,22:24:00,272.8,78.4,77.0,79.0,79.2,77.5,,,,,,,
10/04/2021,22:27:00,272.8,78.6,77.0,79.0,79.2,77.5,,,,,,,
10/04/2021,22:30:00,272.7,78.6,77.0,79.0,79.2,77.5,,,,,,,
10/04/2021,22:33:00,272.8,78.6,77.0,79.0,79.2,77.5,,,,,,,
10/04/2021,22:36:00,273.0,78.4,77.0,79.0,79.2,77.5,,,,,,,
10/04/2021,22:39:00,273.0,78.4,77.0,79.0,79.2,77.5,,,,,,,
10/04/2021,22:42:00,272.7,78.4,77.0,79.0,79.2,77.5,,,,,,,
10/04/2021,22:45:00,272.8,78.4,77.0,79.0,79.2,77.5,,,,,,,
10/04/2021,22:48:00,272.8,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,22:51:00,273.0,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,22:54:00,272.8,78.4,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,22:57:00,272.8,78.4,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:00:00,272.8,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:03:00,273.0,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:06:00,272.7,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:09:00,272.7,78.4,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:12:00,272.7,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:15:00,272.7,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:18:00,272.7,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:21:00,272.7,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:24:00,272.7,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:27:00,272.7,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:30:00,272.7,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:33:00,272.8,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:36:00,272.7,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:39:00,272.8,78.4,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:42:00,272.8,78.3,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:45:00,272.7,78.4,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:48:00,272.8,78.4,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:51:00,272.8,78.4,76.8,78.8,79.0,77.4,,,,,,,
10/04/2021,23:54:00,272.7,78.3,76.6,78.6,78.8,77.2,,,,,,,
10/04/2021,23:57:00,272.5,78.3,76.6,78.6,78.8,77.2,,,,,,,

Marker list,
Date,Time,Marker text,
