Date,Time,OVEN 1 [°F],OVEN 2 [°F],OVEN 3 [°F],OVEN 4 [°F],OVEN 5 [°F],OVEN 6 [°F],OVEN 1 AL,OVEN 2 AL,OVEN 3 AL,OVEN 4 AL,OVEN 5 AL,OVEN 6 AL,
10/05/2021,15:27:00,273.7,79.9,79.7,86.7,107.2,78.3,,,,,,,
10/05/2021,15:30:00,273.9,79.9,79.7,86.7,105.1,78.3,,,,,,,
10/05/2021,15:33:00,273.6,79.9,79.7,86.4,102.9,78.3,,,,,,,
10/05/2021,15:36:00,273.4,79.9,79.7,86.2,101.1,78.3,,,,,,,
10/05/2021,15:39:00,273.2,79.9,79.7,85.8,99.9,78.3,,,,,,,
10/05/2021,15:42:00,273.6,79.9,79.7,85.8,98.4,78.3,,,,,,,
10/05/2021,15:45:00,273.0,79.9,79.7,85.6,96.3,78.4,,,,,,,
10/05/2021,15:48:00,273.4,79.9,79.7,85.5,109.6,78.1,,,,,,,
10/05/2021,15:51:00,273.2,79.7,79.7,85.3,166.5,78.3,,,,,,,
10/05/2021,15:54:00,272.8,79.9,79.7,85.3,204.4,78.3,,,,,,,
10/05/2021,15:57:00,273.4,79.9,79.7,85.3,240.1,78.3,,,,,,,

Marker list,
Date,Time,Marker text,
