Date,Time,OVEN 1 [°F],OVEN 2 [°F],OVEN 3 [°F],OVEN 4 [°F],OVEN 5 [°F],OVEN 6 [°F],OVEN 1 AL,OVEN 2 AL,OVEN 3 AL,OVEN 4 AL,OVEN 5 AL,OVEN 6 AL,
10/04/2021,00:00:00,271.9,86.9,77.2,79.5,79.5,77.9,,,,,,,
10/04/2021,00:03:00,271.8,86.9,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:06:00,271.9,86.9,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:09:00,272.1,86.9,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:12:00,271.9,86.9,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:15:00,271.9,86.9,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:18:00,271.8,86.9,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:21:00,271.9,86.9,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:24:00,271.9,86.9,77.4,79.5,79.5,77.7,,,,,,,
10/04/2021,00:27:00,271.9,86.9,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:30:00,271.9,86.7,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:33:00,271.9,86.7,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:36:00,271.9,86.7,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:39:00,271.9,86.7,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:42:00,271.8,86.7,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:45:00,271.6,86.7,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:48:00,271.8,86.7,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:51:00,271.8,86.7,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:54:00,272.1,86.7,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,00:57:00,271.9,86.7,77.4,79.5,79.5,77.9,,,,,,,
10/04/2021,01:00:00,271.9,86.7,77.4,79.5,79.5,77.7,,,,,,,
