Date,Time,OVEN 1 [°F],OVEN 2 [°F],OVEN 3 [°F],OVEN 4 [°F],OVEN 5 [°F],OVEN 6 [°F],OVEN 1 AL,OVEN 2 AL,OVEN 3 AL,OVEN 4 AL,OVEN 5 AL,OVEN 6 AL,
10/04/2021,08:00:00,271.6,78.8,76.8,78.8,78.6,77.0,,,,,,,
10/04/2021,08:03:00,271.6,78.8,76.6,78.6,78.6,77.0,,,,,,,
10/04/2021,08:06:00,271.8,78.6,76.5,78.6,78.6,77.0,,,,,,,
10/04/2021,08:09:00,271.6,78.6,76.5,78.6,78.6,77.0,,,,,,,
10/04/2021,08:12:00,271.6,78.6,76.3,78.6,78.6,77.0,,,,,,,
10/04/2021,08:15:00,271.8,78.6,76.3,78.4,78.4,76.8,,,,,,,
10/04/2021,08:18:00,252.9,78.6,76.3,78.4,78.4,76.8,,,,,,,
10/04/2021,08:21:00,190.8,78.3,76.1,78.4,78.4,76.8,,,,,,,
10/04/2021,08:24:00,159.6,78.3,76.3,78.6,78.6,76.8,,,,,,,
10/04/2021,08:27:00,140.4,78.1,76.3,78.4,78.4,76.8,,,,,,,
10/04/2021,08:30:00,127.6,78.4,76.3,78.4,78.4,76.8,,,,,,,
10/04/2021,08:33:00,118.9,78.6,76.3,78.4,78.4,76.8,,,,,,,
10/04/2021,08:36:00,114.3,78.8,76.3,78.4,78.4,76.8,,,,,,,
10/04/2021,08:39:00,111.0,79.0,76.5,78.4,78.6,76.8,,,,,,,
10/04/2021,08:42:00,108.0,78.8,76.3,78.3,78.3,76.6,,,,,,,
10/04/2021,08:45:00,105.8,78.8,76.3,78.3,78.3,76.6,,,,,,,
10/04/2021,08:48:00,103.6,78.8,76.3,78.3,78.3,76.6,,,,,,,
10/04/2021,08:51:00,101.5,78.8,76.3,78.3,78.3,76.6,,,,,,,
10/04/2021,08:54:00,99.9,78.8,76.3,78.3,78.3,76.6,,,,,,,
10/04/2021,08:57:00,98.4,79.0,76.5,78.3,78.3,76.8,,,,,,,
10/04/2021,09:00:00,97.2,79.0,76.5,78.3,78.3,76.8,,,,,,,
10/04/2021,09:03:00,96.1,79.0,76.5,78.3,78.4,76.8,,,,,,,
10/04/2021,09:06:00,95.4,79.0,76.5,78.3,78.3,76.8,,,,,,,
10/04/2021,09:09:00,94.1,79.0,76.5,78.3,78.4,76.8,,,,,,,
10/04/2021,09:12:00,93.2,79.0,76.5,78.3,78.4,76.8,,,,,,,
10/04/2021,09:15:00,92.3,79.0,76.5,78.3,78.3,76.8,,,,,,,
10/04/2021,09:18:00,91.6,79.0,76.5,78.3,78.4,76.8,,,,,,,
10/04/2021,09:21:00,90.9,78.8,76.5,78.3,78.3,76.8,,,,,,,
10/04/2021,09:24:00,90.3,78.8,76.5,78.3,78.3,76.8,,,,,,,
10/04/2021,09:27:00,89.8,78.8,76.5,78.3,78.3,76.8,,,,,,,
10/04/2021,09:30:00,89.6,78.8,76.6,78.3,78.3,76.8,,,,,,,
10/04/2021,09:33:00,88.9,79.0,76.6,78.3,78.4,76.8,,,,,,,
10/04/2021,09:36:00,88.3,78.8,76.6,78.3,78.4,76.8,,,,,,,
10/04/2021,09:39:00,87.8,79.0,76.6,78.3,78.3,76.8,,,,,,,
10/04/2021,09:42:00,87.4,78.8,76.6,78.3,78.3,76.8,,,,,,,
10/04/2021,09:45:00,87.1,78.8,76.6,78.3,78.3,76.8,,,,,,,
10/04/2021,09:48:00,86.7,78.6,76.6,78.3,78.3,76.8,,,,,,,
10/04/2021,09:51:00,86.5,78.6,76.6,78.3,78.3,76.8,,,,,,,
10/04/2021,09:54:00,86.2,78.6,76.6,78.3,78.3,76.8,,,,,,,
10/04/2021,09:57:00,85.8,78.6,76.6,78.3,78.3,76.6,,,,,,,
10/04/2021,10:00:00,85.6,78.6,76.6,78.3,78.3,76.8,,,,,,,
10/04/2021,10:03:00,85.5,78.6,76.6,78.3,78.3,76.8,,,,,,,
10/04/2021,10:06:00,85.3,78.6,76.6,78.3,78.3,76.8,,,,,,,
10/04/2021,10:09:00,85.1,78.6,76.6,78.3,78.3,76.8,,,,,,,
10/04/2021,10:12:00,84.7,78.8,76.6,78.3,78.3,76.8,,,,,,,
10/04/2021,10:15:00,84.4,78.8,76.6,78.3,78.3,76.8,,,,,,,
10/04/2021,10:18:00,84.4,78.8,76.6,78.3,78.4,76.8,,,,,,,
10/04/2021,10:21:00,84.2,78.8,76.8,78.3,78.4,76.8,,,,,,,
10/04/2021,10:24:00,84.0,78.8,76.8,78.3,78.4,76.8,,,,,,,
10/04/2021,10:27:00,83.8,78.8,76.8,78.4,78.4,76.8,,,,,,,
10/04/2021,10:30:00,83.7,78.8,77.0,78.4,78.4,76.8,,,,,,,
10/04/2021,10:33:00,83.5,78.8,77.0,78.4,78.4,76.8,,,,,,,
10/04/2021,10:36:00,83.3,78.8,77.0,78.4,78.4,76.8,,,,,,,
10/04/2021,10:39:00,82.9,78.8,77.0,78.4,78.4,76.8,,,,,,,
10/04/2021,10:42:00,82.6,78.4,76.8,78.4,78.4,76.8,,,,,,,
10/04/2021,10:45:00,82.4,78.4,76.8,78.4,78.4,76.8,,,,,,,
10/04/2021,10:48:00,82.0,78.4,76.6,78.4,78.4,76.6,,,,,,,
10/04/2021,10:51:00,81.9,78.3,76.6,78.4,78.4,76.6,,,,,,,
10/04/2021,10:54:00,81.9,78.4,76.6,78.3,78.4,76.8,,,,,,,
10/04/2021,10:57:00,81.9,78.4,76.6,78.4,78.4,76.6,,,,,,,
10/04/2021,11:00:00,81.7,78.4,76.6,78.4,78.4,76.8,,,,,,,
10/04/2021,11:03:00,81.5,78.4,76.6,78.3,78.4,76.8,,,,,,,
10/04/2021,11:06:00,81.3,78.3,76.6,78.3,78.4,76.6,,,,,,,
10/04/2021,11:09:00,81.3,78.3,76.5,78.3,78.4,76.6,,,,,,,
10/04/2021,11:12:00,81.1,78.3,76.5,78.3,78.4,76.6,,,,,,,
10/04/2021,11:15:00,81.0,78.3,76.5,78.3,78.4,76.6,,,,,,,
10/04/2021,11:18:00,80.8,78.1,76.3,78.3,78.4,76.6,,,,,,,
10/04/2021,11:21:00,80.6,78.1,76.3,78.3,78.3,76.6,,,,,,,
10/04/2021,11:24:00,80.6,77.9,76.3,78.3,78.4,76.6,,,,,,,
10/04/2021,11:27:00,80.4,77.9,76.1,78.3,78.3,76.6,,,,,,,
10/04/2021,11:30:00,80.2,77.9,76.1,78.3,78.3,76.6,,,,,,,
10/04/2021,11:33:00,80.2,77.7,75.9,78.3,78.3,76.5,,,,,,,
10/04/2021,11:36:00,79.9,77.7,75.9,78.3,78.3,76.6,,,,,,,
10/04/2021,11:39:00,79.7,77.7,75.9,78.3,78.3,76.5,,,,,,,
10/04/2021,11:42:00,79.7,77.5,75.7,77.9,78.1,76.3,,,,,,,
10/04/2021,11:45:00,79.7,77.5,75.7,77.9,78.1,76.3,,,,,,,
10/04/2021,11:48:00,79.5,77.5,75.7,77.9,78.1,76.3,,,,,,,
10/04/2021,11:51:00,79.5,77.4,75.7,77.9,78.1,76.3,,,,,,,
10/04/2021,11:54:00,79.3,77.4,75.6,77.9,78.1,76.3,,,,,,,
10/04/2021,11:57:00,79.3,77.4,75.7,77.9,78.1,76.3,,,,,,,

Marker list,
Date,Time,Marker text,
