Date,Time,OVEN 1 [°F],OVEN 2 [°F],OVEN 3 [°F],OVEN 4 [°F],OVEN 5 [°F],OVEN 6 [°F],OVEN 1 AL,OVEN 2 AL,OVEN 3 AL,OVEN 4 AL,OVEN 5 AL,OVEN 6 AL,
10/05/2021,16:00:00,272.7,79.9,79.7,85.1,274.8,78.3,,,,,,,
10/05/2021,16:03:00,272.8,79.9,79.7,85.1,298.4,78.3,,,,,,,
10/05/2021,16:06:00,273.2,79.9,79.7,84.9,292.8,78.3,,,,,,,
10/05/2021,16:09:00,273.2,79.9,79.7,84.9,293.0,78.3,,,,,,,
10/05/2021,16:12:00,272.8,80.1,79.9,84.9,292.6,78.4,,,,,,,
10/05/2021,16:15:00,273.0,80.1,79.9,84.7,293.4,78.4,,,,,,,
10/05/2021,16:18:00,272.7,80.1,79.9,84.6,293.0,78.6,,,,,,,
10/05/2021,16:21:00,272.8,79.9,79.7,84.6,292.8,78.4,,,,,,,
10/05/2021,16:24:00,273.0,79.9,79.7,84.4,292.8,78.4,,,,,,,
10/05/2021,16:27:00,273.0,79.9,79.7,84.2,292.6,78.4,,,,,,,
10/05/2021,16:30:00,273.2,79.9,79.5,84.2,293.4,78.4,,,,,,,
10/05/2021,16:33:00,272.8,79.9,79.5,84.0,292.3,78.4,,,,,,,
10/05/2021,16:36:00,272.8,79.9,79.5,84.0,293.4,78.4,,,,,,,
10/05/2021,16:39:00,273.6,79.9,79.5,83.8,292.1,78.4,,,,,,,
10/05/2021,16:42:00,272.7,80.1,79.7,83.8,292.3,78.8,,,,,,,
10/05/2021,16:45:00,272.8,80.1,79.7,83.7,292.8,78.8,,,,,,,
10/05/2021,16:48:00,272.7,80.1,79.7,83.7,293.0,78.8,,,,,,,
10/05/2021,16:51:00,272.7,80.1,79.7,83.7,293.0,78.8,,,,,,,
10/05/2021,16:54:00,273.0,80.1,79.7,83.7,292.8,78.6,,,,,,,
10/05/2021,16:57:00,272.7,80.2,79.5,83.7,292.3,78.4,,,,,,,
10/05/2021,17:00:00,273.0,81.0,79.3,83.7,293.4,78.6,,,,,,,
10/05/2021,17:03:00,272.8,81.5,79.0,83.5,292.5,78.4,,,,,,,
10/05/2021,17:06:00,273.0,81.9,78.8,83.3,292.1,78.4,,,,,,,
10/05/2021,17:09:00,273.0,82.0,78.8,83.1,293.0,78.4,,,,,,,
10/05/2021,17:12:00,272.8,112.3,78.8,83.1,293.0,78.4,,,,,,,
10/05/2021,17:15:00,272.8,154.8,78.8,82.9,292.6,78.6,,,,,,,
10/05/2021,17:18:00,272.8,185.5,78.8,82.9,292.6,78.6,,,,,,,
10/05/2021,17:21:00,272.7,208.8,78.8,82.9,292.6,78.6,,,,,,,
10/05/2021,17:24:00,272.7,230.2,78.8,82.9,292.3,78.6,,,,,,,
10/05/2021,17:27:00,272.5,248.4,78.8,82.8,292.6,78.6,,,,,,,
10/05/2021,17:30:00,272.8,265.6,78.8,82.8,292.1,78.4,,,,,,,
10/05/2021,17:33:00,272.8,281.1,78.8,82.8,292.6,78.4,,,,,,,
10/05/2021,17:36:00,272.7,280.8,78.8,82.6,292.5,78.4,,,,,,,
10/05/2021,17:39:00,272.5,280.4,78.8,82.8,292.8,78.6,,,,,,,
10/05/2021,17:42:00,272.8,280.8,78.8,82.6,292.8,78.6,,,,,,,
10/05/2021,17:45:00,272.5,280.2,78.8,82.6,292.5,78.6,,,,,,,
10/05/2021,17:48:00,272.7,280.4,78.8,82.6,292.3,78.6,,,,,,,
10/05/2021,17:51:00,272.7,280.4,78.6,82.4,293.0,78.6,,,,,,,
10/05/2021,17:54:00,272.5,280.6,78.6,82.4,292.5,78.4,,,,,,,
10/05/2021,17:57:00,272.8,280.6,78.6,82.4,292.8,78.4,,,,,,,
10/05/2021,18:00:00,273.0,280.8,78.6,82.4,292.1,78.4,,,,,,,
10/05/2021,18:03:00,272.8,280.4,78.8,82.4,293.0,78.6,,,,,,,
10/05/2021,18:06:00,273.2,280.6,78.6,82.4,292.8,78.6,,,,,,,
10/05/2021,18:09:00,273.0,280.8,78.6,82.2,292.3,78.6,,,,,,,
10/05/2021,18:12:00,273.2,281.1,78.8,82.4,292.5,78.6,,,,,,,
10/05/2021,18:15:00,272.5,281.1,78.6,82.2,293.2,78.6,,,,,,,
10/05/2021,18:18:00,272.7,280.8,78.6,82.2,292.1,78.6,,,,,,,
10/05/2021,18:21:00,272.8,281.1,78.6,82.2,293.0,78.6,,,,,,,
10/05/2021,18:24:00,273.2,281.1,78.8,82.2,292.6,78.6,,,,,,,
10/05/2021,18:27:00,273.4,280.8,78.8,82.2,293.0,78.6,,,,,,,
10/05/2021,18:30:00,273.4,280.8,78.6,82.0,292.5,78.4,,,,,,,
10/05/2021,18:33:00,272.8,280.6,78.4,82.0,292.1,78.4,,,,,,,
10/05/2021,18:36:00,272.7,281.1,78.6,82.2,292.3,78.6,,,,,,,
10/05/2021,18:39:00,272.7,281.5,78.6,82.0,293.0,78.6,,,,,,,
10/05/2021,18:42:00,273.0,281.5,78.6,82.2,292.6,78.6,,,,,,,
10/05/2021,18:45:00,272.7,281.3,78.6,82.0,292.6,78.6,,,,,,,
10/05/2021,18:48:00,273.2,280.9,78.6,81.9,292.3,78.4,,,,,,,
10/05/2021,18:51:00,273.0,280.9,78.4,81.9,292.8,78.4,,,,,,,
10/05/2021,18:54:00,273.4,281.1,78.6,82.0,292.6,78.6,,,,,,,
10/05/2021,18:57:00,273.0,281.1,78.6,81.9,292.5,78.6,,,,,,,
10/05/2021,19:00:00,273.4,281.5,78.6,82.0,292.5,78.6,,,,,,,
10/05/2021,19:03:00,272.7,281.1,78.6,82.0,292.5,78.6,,,,,,,
10/05/2021,19:06:00,272.7,281.1,78.4,81.9,292.1,78.6,,,,,,,
10/05/2021,19:09:00,273.0,280.9,78.4,81.7,292.3,78.4,,,,,,,
10/05/2021,19:12:00,272.7,280.8,78.6,81.9,293.0,78.6,,,,,,,
10/05/2021,19:15:00,272.7,280.9,78.4,81.9,292.5,78.6,,,,,,,
10/05/2021,19:18:00,272.7,280.9,78.4,81.7,293.0,78.4,,,,,,,
10/05/2021,19:21:00,273.0,280.9,78.4,81.7,292.8,78.4,,,,,,,
10/05/2021,19:24:00,272.7,281.5,78.6,81.9,292.6,78.6,,,,,,,
10/05/2021,19:27:00,273.0,281.1,78.4,81.9,292.6,78.6,,,,,,,
10/05/2021,19:30:00,272.7,280.9,78.4,81.7,292.8,78.4,,,,,,,
10/05/2021,19:33:00,272.5,280.9,78.6,81.9,292.8,78.6,,,,,,,
10/05/2021,19:36:00,273.2,281.1,78.6,81.9,292.5,78.6,,,,,,,
10/05/2021,19:39:00,273.0,281.1,78.4,81.7,292.5,78.6,,,,,,,
10/05/2021,19:42:00,272.8,280.8,78.4,81.7,292.8,78.4,,,,,,,
10/05/2021,19:45:00,272.8,280.9,78.3,81.5,292.1,78.4,,,,,,,
10/05/2021,19:48:00,272.7,281.3,78.3,81.5,292.6,78.4,,,,,,,
10/05/2021,19:51:00,272.8,281.3,78.4,81.7,292.5,78.6,,,,,,,
10/05/2021,19:54:00,273.0,281.3,78.3,81.5,292.3,78.4,,,,,,,
10/05/2021,19:57:00,272.8,281.1,78.3,81.5,292.8,78.4,,,,,,,

Marker list,
Date,Time,Marker text,
