Date,Time,OVEN 1 [°F],OVEN 2 [°F],OVEN 3 [°F],OVEN 4 [°F],OVEN 5 [°F],OVEN 6 [°F],OVEN 1 AL,OVEN 2 AL,OVEN 3 AL,OVEN 4 AL,OVEN 5 AL,OVEN 6 AL,
10/05/2021,04:00:00,170.6,77.0,75.7,77.9,78.1,75.9,,,,,,,
10/05/2021,04:03:00,169.7,77.0,75.9,77.9,78.1,75.9,,,,,,,
10/05/2021,04:06:00,169.0,76.8,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:09:00,168.3,76.8,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:12:00,167.5,76.8,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:15:00,166.6,76.8,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:18:00,165.7,76.8,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:21:00,165.0,77.0,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:24:00,164.3,77.0,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:27:00,163.6,77.0,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:30:00,162.9,77.0,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:33:00,162.1,77.0,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:36:00,161.2,76.8,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:39:00,160.7,76.8,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:42:00,160.0,76.8,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:45:00,159.3,76.8,75.7,77.7,77.9,75.7,,,,,,,
10/05/2021,04:48:00,158.7,76.6,75.6,77.5,77.7,75.6,,,,,,,
10/05/2021,04:51:00,158.0,76.8,75.6,77.5,77.7,75.6,,,,,,,
10/05/2021,04:54:00,157.3,76.8,75.6,77.5,77.7,75.6,,,,,,,
10/05/2021,04:57:00,156.7,76.8,75.6,77.5,77.7,75.6,,,,,,,
10/05/2021,05:00:00,156.2,76.8,75.6,77.5,77.7,75.6,,,,,,,
