Date,Time,OVEN 1 [°F],OVEN 2 [°F],OVEN 3 [°F],OVEN 4 [°F],OVEN 5 [°F],OVEN 6 [°F],OVEN 1 AL,OVEN 2 AL,OVEN 3 AL,OVEN 4 AL,OVEN 5 AL,OVEN 6 AL,
10/03/2021,04:00:00,271.8,107.4,77.2,79.5,79.3,77.4,,,,,,,
10/03/2021,04:03:00,271.9,107.2,77.2,79.5,79.3,77.4,,,,,,,
10/03/2021,04:06:00,271.8,107.1,77.2,79.5,79.3,77.4,,,,,,,
10/03/2021,04:09:00,271.9,106.9,77.2,79.5,79.3,77.4,,,,,,,
10/03/2021,04:12:00,271.8,106.5,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:15:00,271.9,106.5,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:18:00,271.8,106.2,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:21:00,271.8,106.2,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:24:00,271.6,106.0,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:27:00,271.8,105.8,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:30:00,272.1,105.6,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:33:00,271.9,105.4,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:36:00,272.1,105.3,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:39:00,271.9,105.3,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:42:00,271.8,105.1,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:45:00,271.6,104.9,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:48:00,271.8,104.7,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:51:00,271.9,104.5,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,04:54:00,271.8,104.4,77.0,79.3,79.2,77.4,,,,,,,
10/03/2021,04:57:00,271.9,104.4,77.0,79.3,79.2,77.2,,,,,,,
10/03/2021,05:00:00,271.9,104.2,77.0,79.3,79.2,77.2,,,,,,,
